v1,yearq,airline,year,quarter,totalrecords,ontime,cancelled,diverted,aircarrierdelay,extremeweatherdelay,nasdelay,securitydelay,latearrivingaircraftdelay,totaldelay,enplanedpassengers,totalbag,pper1000,flightproblems,oversales,reservation,fares,refunds,baggage,customerservice,disability,advertising,discrimination,animals,other,totalcomplaint,cash,curr_assets,prop_equip,prop_equip_no_tot,assets,curr_liabilities,non_rec_liab,sh_hld_equity,liab_sh_hld_equity,net_income,op_profit_loss,trans_rev_pax,mail,total_property,prop_freight,prop_bag,op_revenues,op_expenses,tdomt_gallons,tdomt_cost,empfte,tot_fly_ops,total_air_hours,air_days_assign,totalpercent,hetero,salaries,landing_fees,revpaxenplaned,revpaxmiles,revtonmiles,avltonmiles,avlseatmiles,revmilesflown,revmilesched,revairhours,airhourramp2ramp,sparsity,grandtotalflights,heterogeneity,lfp,lff,yieldpax,yield_or,fleetutil,avglandingfee,fueleff,lcc,recession,percpita_gdp,percent_gdp,avg_fare,adj_avg_fare,percent_chg_fare,carriercode,occasion,occasioncount,lyield,lLFP,lfleetutil,lfueleff,lpOntime,lmisbagg,ltotaldelay,lcomplaint,lhetero,lavglandfee,lsparsity,ltdomt_cost,lrevpaxenplaned,lempfte,revpaxmileTotal,lMKTshare,OPOR,lyield_mean,lLFP_mean,lfleetutil_mean,lfueleff_mean,lpOntime_mean,lmisbagg_mean,ltotaldelay_mean,lcomplaint_mean,lhetero_mean,lavglandfee_mean,lsparsity_mean,lMKTshare_mean,ltdomt_cost_mean,lrevpaxenplaned_mean,lempfte_mean,lyield_w,lLFPw,lfleetutil_w,lfueleff_w,lpOntime_w,lmisbagg_w,ltotaldelay_w,lcomplaint_w,lhetero_w,lavglandfee_w,lsparsity_w,lMKTshare_w,ltdomt_costw,lrevpaxenplaned_w,lempfte_w,clyield_mean,clLFP_mean,clfleetutil_mean,clfueleff_mean,clpOntime_mean,clmisbagg_mean,cltotaldelay_mean,clcomplaint_mean,clhetero_mean,clavglandfee_mean,clsparsity_mean,clMKTshare_mean,cltdomt_cost_mean,clrevpaxenplaned_mean,clempfte_mean
142,20054,HAWAIIAN,2005,4,11997,11443,10,1,411,5,10,8,109,554,1509349,4358,8.6499996,0,0,0,0,0,0,0,0,0,0,0,0,0,23484,278112.19,51276.77,0,655501.94,275851.94,356728.31,13653.1,655501.94,14932.1,-2493.3601,176165.91,131.14,7652.27,6566.04,1086.23,195892.81,198386.17,25568895,48090297,9247,94578.852,15.52,2.2,.55555558,.44444445,39163.289,2229.53,1454717,1630172448,183415703,299464570,1800375680,7595399,7439360,16406,19375,.27844217,12195,.36386147,.90546238,.61247879,.10806581,.10880663,.29393938,182.82329,70.412727,0,0,50629,.31503999,314.76483,428.42432,.021721732,16,8,64,-2.2250149,-.099309541,-1.2243817,4.254374,-.04727843,2.1575594,6.3171649,,-1.010982,5.2085199,-1.2785449,17.688591,14.190322,9.1320543,129620189184,-4.3759227,-.012728185,-1.9896747,-.14304188,-1.2052833,4.2794709,-.08746098,2.089457,7.1815281,2.8884876,-.67200166,5.6783667,-1.341495,-4.1805482,18.067671,14.528169,9.4245348,-.23534024,.043732338,-.019098401,-.025096893,.04018255,.06810236,-.86436319,,-.33898038,-.46984673,.062950134,-.19537449,-.37907982,-.33784676,-.29248047,.032459352,.073381864,-.105584,-.17384101,.15647723,-.39344439,-2.4044597,-1.1860147,-.067221068,.40082857,1.0791577,-.8338176,-.80012441,-1.0764637,-1.0820404
143,20054,ENVOY,2005,4,133010,101312,3537,234,6813,1036,10079,9,9989,31697,4520348,53394,35.610001,12,2,5,0,1,7,7,2,0,1,0,0,37,696.09998,323325.28,2967854,0,4286019.5,467395.84,3739537.5,183687.86,4286019.5,4112.4502,48412.43,467569.03,0,0,0,0,469612.22,421199.81,68316252,145722501,28398,202028.45,154.75,23.790001,.5,.5,97561.031,16091.79,4519219,2002529413,200287247,328944746,2737537096,56427051,57929024,152299,205099,.069914892,129777,.70894927,.73150766,.60887808,.23348922,.17154552,.27103475,123.9957,40.071537,0,0,50629,.31503999,314.76483,428.42432,.021721732,13,8,56,-1.4546194,-.31264758,-1.3055083,3.6906662,-.27221945,3.5726266,10.363977,3.6109178,-.34397131,4.8202467,-2.6604767,18.797215,15.32385,10.254074,129620189184,-4.1701975,.10309023,-1.6408215,-.29306766,-1.6029867,3.6849475,-.29583371,3.2101371,10.196259,3.7423904,-.42317587,3.3110759,-2.5845485,-4.3169031,18.751755,15.193357,10.330316,.18620205,-.019579917,.29747844,.005718708,.023614258,.36248946,.16771889,-.13147259,.079204559,1.5091708,-.075928211,.14670563,.045459747,.13049221,-.076241493,.38131258,-.076643921,-.50328737,-.76836443,-.051895496,.72723573,.61027074,-.33211181,.18160473,-1.9664621,-.1638957,-.97017252,-.11604048,-.41127488,-.17625964
144,20054,AMERICA WEST,2005,4,49347,40744,616,52,2817,87,2811,35,2185,8603,5252414,27002,15.44,12,1,2,2,4,9,0,3,0,1,0,1,35,632272.5,1326383.1,205551.5,0,2191653,1113981.4,1148915.4,-110469.82,2191653,-375509.75,-145707.36,606539.75,3932.95,7235.21,4578.2002,2657.01,845589.88,991297.25,107392623,210514513,34805,369139.44,135.75,12.46,.68000001,.31999999,130618.1,13220,5232333,5693187943,589841927,979807244,7340674492,51468818,51970941,115377,134986,.15629302,48845,.67368317,.77556741,.60199791,.1065378,.1151924,.45395264,270.65207,68.353622,0,0,50629,.31503999,314.76483,428.42432,.021721732,5,8,8,-2.2392554,-.25416037,-.78976238,4.2246947,-.19156839,2.7369616,9.059866,3.5553482,-.39499536,5.6008339,-1.8560227,19.165066,15.470367,10.457517,129620189184,-3.1253381,-.17231445,-2.3248262,-.24273542,-.77618486,4.2047777,-.24373788,2.513176,9.2553806,3.9349771,-.36379141,5.5611277,-1.8824807,-3.1268716,18.863789,15.469208,10.457157,.085570812,-.011424959,-.013577521,.019917011,.052169487,.22378564,-.19551468,-.3796289,-.031203955,.03970623,.026458025,.0015335083,.30127716,.001159668,.00035953522,-.3026922,-.026311673,.32351443,-.24853422,.0002003362,.030274551,-.33060718,-.13952515,.24098919,.28358957,.53817207,.21985899,-.0040066396,-.13542458,-.049418095
145,20054,NORTHWEST,2005,4,106917,78751,1170,208,9943,1329,10822,67,4626,28165,10891302,57993,16,20,2,9,3,18,11,7,10,1,0,0,2,83,97845,2868566,7966384,224563,17878298,2650046,15082279,130426,17878298,-719887,-140876,1302125,231,82359,76115,6244,2010860,2151736,225210526,455188986,96556,709066,206.17999,30.280001,.51999998,.47999999,322983,36219,10946501,9926850194,1161456664,1828196795,12553734432,88278321,88954985,205379,252441,.10206034,106823,.819206,.79074878,.63530177,.13117202,.16018023,.28371313,339.05618,55.742218,0,0,50629,.31503999,314.76483,428.42432,.021721732,20,8,24,-2.0312457,-.23477496,-1.2597916,4.0207376,-.30576184,2.7725887,10.245835,4.4188404,-.19941971,5.8261657,-2.282191,19.936224,16.20853,11.477879,129620189184,-2.5693653,-.070057586,-2.025847,-.20002566,-1.2224101,4.0357761,-.27703792,2.4904771,10.080109,4.8545165,-.19896154,5.8787875,-2.252147,-2.5656266,19.830851,16.196928,11.446602,-.0053987503,-.034749299,-.03738153,-.01503849,-.028723925,.28211164,.16572666,-.4356761,-.000458166,-.052621841,-.030044079,-.0037386417,.10537338,.011602402,.031276703,-.0037129181,.01639808,-.12271079,-.41753581,-.033099707,.0075756721,.49412084,.78001428,.40581906,.6012494,.16850582,.78110397,.96305537,.59229571,.94002664
146,20054,INDEPENDENCE,2005,4,22574,18496,166,21,713,54,1930,46,1149,4079,1048834,2753,7.8800001,8,0,1,0,4,4,0,0,0,0,0,0,17,17893.279,168418.92,30748.699,0,231145.3,793978.06,17326.711,-598620.75,231145.3,-365197.72,-40433.691,80896.609,0,227.12,0,227.12,85470.227,125903.93,11322764,26271739,7517,70226.742,27.57,4.1700001,.44,.56,23494.619,3005.46,1017786,550969094,55096909,142273022,794323364,10298711,10328757,27531,36094,.25513354,22570,.4354713,.69363326,.38726181,.14682604,.10760131,.27547961,133.16171,70.152779,0,0,50629,.31503999,314.76483,428.42432,.021721732,17,8,8,-1.9185067,-.36581191,-1.2892417,4.2506752,-.19924431,2.064328,8.3136072,2.8332133,-.83132637,4.8915644,-1.3659682,17.084003,13.83314,8.924922,129620189184,-5.4606853,-.47307342,-1.7466505,-.43325767,-1.2332492,3.763649,-.26759994,2.8388932,9.2956581,2.7891345,-1.0617799,4.6969762,-1.7699934,-5.2492805,17.51079,14.231378,9.2803764,-.17185628,.067445755,-.055992484,.48702621,.068355635,-.77456522,-.9820509,.044078827,.23045349,.19458818,.4040252,-.2114048,-.42678642,-.39823723,-.35545444,.27548358,-.21683393,-.1335499,-.68966293,-.023661727,.35599175,-.29032969,-1.2853677,-.45699927,-.58056194,.65065938,-1.9025499,-1.3570054,-1.3732548,-1.2261988
147,20054,US,2005,4,92144,73449,1197,95,4314,243,7961,0,4886,18696,8059769,64894,24.290001,26,4,23,9,19,32,13,11,0,1,0,8,146,30035,1150826,1413490,286000,4808373,2233615,2461935,-133800,4808373,-106584,-69586,942229,1918,12403,9258,3145,1502883,1572469,144880000,294858000,60729,479260,185.3,21.16,.81999999,.18000001,214761,22092,8059769,6387261787,651380466,1224990614,8830408703,62260531,62880509,151872,184275,.09000887,91138,.85363775,.72332573,.53174323,.14751689,.17019404,.36487871,242.40163,60.94981,0,0,50629,.31503999,314.76483,428.42432,.021721732,27,8,41,-1.9138126,-.32389563,-1.0081903,4.1100507,-.22676128,3.1900647,9.8360653,4.9836068,-.15824835,5.4905958,-2.4078472,19.502005,15.902395,11.014176,129620189184,-3.0103028,-.046301674,-1.993342,-.20615524,-1.051116,4.134016,-.23429155,2.5142708,9.9736452,5.3621802,-.21275288,5.6314526,-2.4605527,-2.6074708,19.832302,16.183376,11.307163,.079529405,-.11774039,.042925715,-.023965359,.007530272,.67579389,-.13757992,-.37857342,.054504529,-.14085674,.052705526,-.40283203,-.33029747,-.28098106,-.29298687,.028791998,.010268502,.048583299,-.31929591,.0096466588,.031369369,.3876574,1.287678,.39202771,.35391447,-.039899912,.73925984,.96450686,.57874399,.80058801
148,20054,EXPRESSJET,2005,4,104092,77386,2201,253,4211,563,11668,91,7721,26708,3828533,29960,23.49,0,0,0,0,0,0,0,0,0,0,0,0,0,226887.69,261110.25,230060.44,0,499166.25,143422.59,336082.78,-34011.34,499166.25,19414.59,33376.59,370251.78,0,0,0,0,370255.59,336879,68757194,45361032,19252,168048.98,148.13,22.18,.55555558,.44444445,63958.219,16564.85,3907027,2145829037,215046959,338525604,2796988702,57279650,58260061,147773,195353,.097026125,102205,.16743922,.7671926,.6352458,.17254487,.13237651,.27827248,162.07475,40.679214,0,0,50629,.31503999,314.76483,428.42432,.021721732,14,8,62,-1.757098,-.26501739,-1.2791545,3.7057173,-.29646924,3.1565747,10.192719,,-1.7871349,5.0880575,-2.3327751,17.630163,15.178288,9.8653698,129620189184,-4.1010828,.090144731,-2.1573148,-.2483796,-1.3814694,6.5459085,-.283842,2.7756608,10.08081,3.1862864,-1.1278484,2.9023094,-2.7273753,-4.2049046,15.88441,15.198602,9.8130302,.40021682,-.016637787,.10231483,-2.8401911,-.012627244,.38091397,.11190891,,-.6592865,2.1857481,.39460015,.10382175,1.7457533,-.020314217,.052339554,-.13518074,-.031955861,-.28177008,2.0925965,-.039903786,.29275933,.49482179,-.88821578,-.52306777,-2.3752286,-.30672249,-.85817397,-2.9833853,-.40603063,-.69354498
149,20054,JETBLUE,2005,4,30759,21776,331,96,1538,48,3804,52,3114,8983,3900759,15793,11.82,0,0,0,0,0,0,0,0,0,0,0,0,0,5577.5801,635211.88,2978581.8,0,3892363.3,675874.19,2103181.8,911174.06,3892363.3,-42427.551,-17676.211,420957.97,864.83002,1765.24,207.72,1557.53,445992.22,463668.44,81355276,151981687,24878,217685.69,89.720001,7.8699999,.55555558,.44444445,96686.453,13515.12,3839513,5154441554,518190545,762621024,6359560124,40859165,41199664,89585,102990,.13114901,30416,.017765444,.81050283,.67948633,.08166898,.070129417,.47501057,444.34244,78.170227,1,0,50629,.31503999,314.76483,428.42432,.021721732,18,8,64,-2.5050809,-.21010046,-.7444182,4.3588886,-.3453742,2.4697931,9.1030893,,-4.0304999,6.0965953,-2.0314212,18.83927,15.160856,10.121739,129620189184,-3.2247498,-.039633453,-2.1311915,-.18307546,-.84272844,4.2380457,-.29700884,2.0371277,9.4821033,3.9720833,-.98921597,6.2422075,-2.4159315,-2.9974527,19.367519,15.578291,10.492418,-.37388945,-.027024999,.098310232,.12084293,-.048365355,.43266535,-.37901402,,-3.0412841,-.14561224,.38451028,-.22729707,-.52824974,-.41743469,-.3706789,-.10905745,.033348285,.25697085,-.21526624,-.053070631,-.44577369,-.10388444,-.10241887,-.38443539,.96466941,.0047213184,.34927785,.49972412,-.026341407,-.014156943
150,20054,ATLANTIC SOUTHEAST,2005,4,74020,54358,1871,94,6828,2986,6526,21,1337,19663,3006749,42730,42.830002,9,0,4,0,0,1,0,0,0,0,0,0,14,81559,193065,1563623,0,1811758,409690,940081,444708,1811758,14575,41842,320177,0,0,0,0,320177,278335,30744905,57597466,16687,168555,94.669998,14.07,.375,.625,47366,4529,2990178,1504771485,150732909,262545752,2013373296,36883389,31355754,93791,122193,.16164677,74776,.45115867,.74738824,.57412052,.2127745,.15902515,.28035417,60.567562,65.486404,0,0,50629,.31503999,314.76483,428.42432,.021721732,8,8,35,-1.5475223,-.29117048,-1.2717016,4.1818423,-.30874354,3.7572389,9.8864937,2.6390574,-.79593617,4.1037593,-1.8223418,17.86899,14.910844,9.7223854,129620189184,-4.4559674,.13068396,-1.7314658,-.26338071,-1.2327936,4.9375162,-.32547048,3.4362276,9.9387054,2.831116,-.76397395,3.6278193,-1.7633801,-4.5200491,17.230247,14.939577,9.5305462,.18394351,-.027789772,-.038908005,-.75567389,.016726941,.3210113,-.052211761,-.19205856,-.031962216,.47593999,-.058961749,.064081669,.63874245,-.028733253,.19183922,.29066822,-.046956964,-.13309428,.48420426,-.081532262,.95332617,.35271764,-1.2433863,-.15919335,-1.6497188,.65727276,-1.1733185,-1.6375477,-.66505522,-.97602904
151,20054,SOUTHWEST,2005,4,261491,210840,2361,346,11921,766,8308,178,26770,50650,22697941,110233,14.6,8,0,1,1,4,6,10,8,0,3,0,1,42,-39263,3655890,9427740,0,14218134,3847836,1423525,6674524,14218134,86058,163438,1858991,7160,32380,27598,4782,1987217,1823779,326742160,391315939,94641,719244,386.60001,40.57,.625,.375,516123,47526,22253469,15171947651,1571880319,2947016764,21792852917,159746236,160579216,385846,447613,.032759726,259541,.53139096,.69618917,.53338015,.12252817,.091186635,.39705035,183.11557,66.697403,1,0,50629,.31503999,314.76483,428.42432,.021721732,24,8,63,-2.0994143,-.36213386,-.92369217,4.2001662,-.21530031,2.6810215,10.832694,3.7376697,-.63225722,5.2101173,-3.4185555,19.785027,16.918009,11.457846,129620189184,-2.1451604,.082244664,-1.9381496,-.24768832,-.99800581,4.2257662,-.22438076,2.4071965,10.974837,4.4619985,-.73705715,5.7340302,-3.4921861,-1.8572142,20.49897,17.183941,11.724526,-.16126478,-.11444554,.074313641,-.025599957,.0090804547,.27382493,-.14214325,-.72432876,.10479993,-.52391291,.073630571,-.28794622,-.71394348,-.26593208,-.26668072,.083984472,-.031264581,.10169348,-.22754575,.019557452,-.075704895,1.3888495,.38749626,-.13227655,.45649216,-1.0715333,1.4895164,1.6311748,1.5793085,1.2179512
152,20054,ATA,2005,4,8744,6936,147,7,277,2,894,8,473,1808,1061752,4682,13.49,9,0,3,0,1,0,0,0,0,0,0,0,13,9713.8799,-78200.656,117367.53,0,94949.844,353945.28,1077512,-1385126.8,94949.844,70450.023,72347.273,124690.1,0,0,0,0,138277.34,65930.07,24681016,49775997,11504,97398.781,22.440001,2.3199999,.3877551,.6122449,33924.879,3152.1599,1057621,1360382577,139423392,245665035,1869928523,9974354,9571070,22076,25489,.1582886,8645,.54024827,.72750515,.56753457,.091658115,.073947936,.40301725,364.62231,75.76384,0,0,50629,.31503999,314.76483,428.42432,.021721732,7,8,12,-2.3896897,-.31813422,-.90877593,4.327621,-.23164251,2.6019487,7.4999766,2.5649493,-.61572647,5.8988619,-1.8433354,17.723043,13.871532,9.3504505,129620189184,-4.5568428,.52320409,-2.4500458,-.33118555,-.88659239,4.3491359,-.26580435,2.6118407,7.7127662,2.6192057,-.56965595,5.7412162,-1.8902135,-4.3396792,17.717676,14.045612,9.4696465,.06035614,.013051331,-.022183537,-.021514893,.034161836,-.0098919868,-.21278954,-.054256439,-.046070516,.1576457,.046878099,-.21716356,.0053672791,-.1740799,-.11919594,-.42791179,-.11476181,.2131069,-.10417607,-.021866137,.12893932,-1.8732216,-1.4552965,.035124641,.46367809,.53043932,-.99294865,-1.1501191,-1.55902,-1.0369288
153,20054,FRONTIER,2005,4,19956,15899,89,11,1181,58,1627,0,1091,4057,2156033,9845,13.6,0,0,2,1,1,0,1,0,0,0,0,0,5,222680.13,346150.78,512855.63,0,916985.88,232238.33,410866.31,235916.78,916985.88,-10892.45,-12775.38,194751.64,0,2203.6899,1461.83,741.84998,234384.38,247159.75,38990362,82486650,12304,117235.89,43.400002,4.1900001,.68000001,.31999999,42286.73,7388.8398,1817660,1686037196,170719043,796312326,2211966730,18036892,18129461,41044,47898,.12316509,29501,.42123523,.76223445,.21438704,.1155085,.10596198,.43158314,250.46066,56.731117,1,0,50629,.31503999,314.76483,428.42432,.021721732,15,8,59,-2.158411,-.27150109,-.84029514,4.0383229,-.22727364,2.6100698,8.3081989,1.6094379,-.86456382,5.5233021,-2.0942297,18.228148,14.41306,9.4176798,129620189184,-4.3422275,-.054506108,-2.3166032,-.16297232,-.86293924,4.2506828,-.26682985,2.2212188,8.5602121,3.8751516,-.70109469,6.0136666,-2.0599482,-3.9503918,18.405107,14.855331,9.4184647,.15819216,-.10852878,.022644103,-.21235991,.039556205,.38885093,-.25201321,-2.2657137,-.16346914,-.49036455,-.034281492,-.39183569,-.17695999,-.44227123,-.00078487396,-.29446915,.053451426,.23676005,-.2026291,-.022891635,-.2616826,-1.0257757,-.19935057,-.096314095,.73612851,.36070457,-.60366118,-.46268776,-.7493009,-1.0881106
154,20054,DELTA,2005,4,144621,111622,2746,183,6724,421,14951,16,7957,32998,17787616,101966,17.27,41,5,19,13,27,30,13,10,0,2,0,12,172,1874665,4317118,12807595,69606,19488220,5705372,23405334,-9096822,19488220,-921343,-334371,1949193,5612,71342,53054,18288,3136723,3471094,354162239,725268119,148699,1107332,295.20001,34.279999,.83471072,.16528925,519670,42054,17148303,16966155179,1808221103,3224574883,22986087947,129173647,130752543,294216,354222,.11477344,142822,.79570729,.73810536,.56076264,.11488714,.13646181,.3588098,294.45044,64.90271,0,0,50629,.31503999,314.76483,428.42432,.021721732,11,8,64,-2.163805,-.30366871,-1.0249628,4.1728892,-.25899836,2.8489709,10.404202,5.1474943,-.2285239,5.6851106,-2.1647952,20.402052,16.65741,11.909679,129620189184,-2.0333881,-.10659883,-1.9633139,-.17911391,-1.0371306,4.2016807,-.20654429,2.3056192,10.351294,5.5749292,-.1888292,5.9221725,-2.31025,-1.8423537,20.599318,16.933538,12.189204,-.20049107,-.1245548,.012167811,-.028791428,-.052454069,.54335165,.052908897,-.42743492,-.039694697,-.23706198,.14545488,-.19103444,-.19726563,-.27612877,-.2795248,.058820102,.037309833,.062568694,-.25163129,.037393916,-.17728217,.76530576,1.500427,.4159514,.64463443,.11040274,1.5043769,1.7315223,1.3289061,1.682629
155,20054,AIRTRAN,2005,4,52264,37919,542,75,2902,62,5162,0,5601,14344,4491453,14944,9.96,10,0,4,0,3,8,5,1,0,0,0,0,31,390015.31,454657.75,561285.44,0,1158909.3,322471.06,484517.78,351920.38,1158909.3,-1059.55,2202.6799,392111.63,1043.54,2510.6599,773.46002,1737.2,409011.06,406808.38,67749043,144882896,19648,246407.69,83.230003,9.1499996,.55555558,.44444445,74045.102,8953.1504,4367851,2953648841,298149587,460698819,4132025453,34057709,34110635,83282,102466,.13953002,51848,.32015499,.71481866,.6471681,.13275498,.098985605,.37900728,172.68073,60.990166,0,0,50629,.31503999,314.76483,428.42432,.021721732,1,8,40,-2.0192502,-.33572641,-.97019988,4.1107125,-.3208555,2.2985771,9.5710869,3.4339871,-1.13895,5.1514444,-1.9694755,18.791437,15.289782,9.8857307,129620189184,-3.7815673,.0053853798,-2.0773172,-.26001126,-.98357624,4.1284389,-.24225728,2.0289955,9.3473701,3.6798499,-1.2251009,5.3300877,-2.1151128,-3.5685983,18.90897,15.433859,9.9910622,.058067083,-.075715154,.013376355,-.017726421,-.078598216,.26958156,.22371674,-.24586272,.086150885,-.17864323,.14563727,-.21296906,-.11753273,-.1440773,-.10533142,-.055183198,-.043587513,.11612305,-.324873,.0016809305,-.45390591,-.23861764,-.39465234,-.62032026,.052549563,.30554,-.2218677,.041174635,-.17077348,-.51551306
156,20061,EXPRESSJET,2006,1,102811,76256,1865,376,4088,785,11665,287,7491,26557,3713883,30464,24.84,5,0,1,0,0,1,6,0,0,0,0,0,13,219653.63,254645.41,226879.52,0,489359.63,114786.87,326764.19,-11795.36,489359.63,16195.18,29790.84,365940.19,0,0,0,0,366153.81,336362.97,67320800,44431728,19336,168023.55,147.89,22.379999,.55555558,.44444445,62973.32,16461.029,3766912,2081121635,208563361,333847654,2758594397,56460560,57160779,147549,194168,.099321395,101512,.16264096,.75441378,.62472618,.17583796,.13273202,.27533886,162.15846,40.976852,0,0,51200,1.12781,323.33578,437.73044,.038715266,14,9,62,-1.7381923,-.28181428,-1.2897527,3.7130075,-.29879624,3.2124553,10.187049,2.5649493,-1.8162103,5.0885739,-2.3093944,17.609465,15.141767,9.8697243,122790944768,-4.0775762,.081361547,-2.1573148,-.2483796,-1.3814694,6.5459085,-.283842,2.7756608,10.08081,3.1862864,-1.1278484,2.9023094,-2.7273753,-4.2049046,15.88441,15.198602,9.8130302,.41912246,-.033434674,.091716647,-2.832901,-.014954239,.43679452,.10623932,-.62133718,-.68836188,2.1862645,.41798091,.1273284,1.7250547,-.056835175,.056694031,-.13518074,-.031955861,-.28177008,2.0925965,-.039903786,.29275933,.49482179,-.88821578,-.52306777,-2.3752286,-.30672249,-.85817397,-2.9833853,-.40603063,-.69354498
157,20061,AIRTRAN,2006,1,55033,41710,568,113,2033,65,4942,0,5603,13324,4592944,17735,11.64,9,0,0,0,1,8,5,2,1,0,0,1,27,220080.59,521727.66,677512.38,0,1356021,451260.72,551660.5,353099.84,1356021,-8909.29,-11422,396344.84,326.07999,2513.01,888.29999,1624.71,414696.94,426118.94,70694327,129458688,20341,245398.02,86.43,9.3599997,.55555558,.44444445,75004.258,9769.5801,4459369,3042923206,306199454,481130569,4293167571,35224643,35225389,86835,106697,.13230088,54527,.3547402,.70878279,.63641655,.13025135,.096594632,.38474894,179.16959,60.7286,0,0,51200,1.12781,323.33578,437.73044,.038715266,1,9,40,-2.0382893,-.34420615,-.95516425,4.1064148,-.27719209,2.4544475,9.4973221,3.2958369,-1.0363696,5.1883326,-2.0226765,18.678873,15.310518,9.9203939,122790944768,-3.6976647,-.027543005,-2.0773172,-.26001126,-.98357624,4.1284389,-.24225728,2.0289955,9.3473701,3.6798499,-1.2251009,5.3300877,-2.1151128,-3.5685983,18.90897,15.433859,9.9910622,.039027929,-.084194899,.028411984,-.022024155,-.034934804,.42545199,.14995193,-.38401294,.18873131,-.1417551,.092436314,-.12906647,-.23009682,-.12334061,-.070668221,-.055183198,-.043587513,.11612305,-.324873,.0016809305,-.45390591,-.23861764,-.39465234,-.62032026,.052549563,.30554,-.2218677,.041174635,-.17077348,-.51551306
158,20061,MESA,2006,1,73054,55526,2185,194,5596,437,3507,36,5575,17530,3203413,32460,30.700001,29,1,0,0,1,11,4,6,0,0,0,0,52,114686.24,412172.38,714416.75,0,1359730.9,162377.17,910442.06,213160.55,1359730.9,12064.1,24629.061,274460.78,0,346.17999,346.17999,0,276259.59,251630.52,44817272,92399946,9652,168485.16,84.720001,13.17,.68000001,.31999999,30464.27,22.540001,3118178,1454886496,145850033,196053887,1977994070,31474060,32302151,86384,113179,.054304782,71309,.72991407,.73553634,.74392831,.18864755,.13966654,.26803342,.31608912,44.13464,0,0,51200,1.12781,323.33578,437.73044,.038715266,19,9,40,-1.6678748,-.30715534,-1.3166436,3.787245,-.27434751,3.4242628,9.7716694,3.9512436,-.31482846,-1.151731,-2.9131429,18.341637,14.95276,9.1749201,122790944768,-4.4355555,.089151874,-1.9245476,-.22727254,-1.2497849,4.5337601,-.24768876,2.8580287,9.2987881,2.9173493,-.45760128,3.4187753,-2.7570796,-4.7114754,17.482246,14.78976,8.9413815,.25667274,-.079882801,-.066858649,-.74651504,-.026658759,.56623411,.47288132,1.0338943,.14277282,-4.5705061,-.15606332,.27591991,.85939026,.16300011,.23353863,.09758649,-.010848798,-.15008566,.080448128,-.0037505429,.37512723,-.28719974,-1.1571529,.14717932,-1.8587627,-.33642682,-1.3647448,-1.3855488,-.81487268,-1.5651938
159,20061,SKYWEST,2006,1,129907,97554,2764,207,16586,1262,4054,99,7381,32353,4544753,49575,32.869999,17,3,2,0,0,9,4,3,0,2,0,0,40,89463,576028,967758,0,1996156,234989,545277,962472,1996156,19778,40332,420825,0,0,0,0,429254,388922,61290444,126413062,24399,232669,145.11,21.24,.375,.625,69969,12245,4468074,2109939137,211039857,324759567,2697776856,52958322,52885446,143922,187261,.053539071,127557,.6061933,.78210294,.64983416,.19944888,.15911397,.28466338,95.9963,44.016273,0,0,51200,1.12781,323.33578,437.73044,.038715266,23,9,64,-1.6121973,-.2457689,-1.2564479,3.7845595,-.28641275,3.4925604,10.384462,3.6888795,-.50055635,4.5643096,-2.9273436,18.655066,15.312468,10.102298,122790944768,-4.0638242,.093958355,-1.938171,-.2282016,-1.2562724,5.0021067,-.22799358,2.8177874,10.31873,3.5855629,-.43981639,4.0690184,-3.1773868,-3.7470846,18.032272,15.650149,10.270409,.32597375,-.017567307,-.00017547607,-1.2175472,-.058419168,.67477298,.065732002,.10331655,-.060739964,.49529123,.25004315,-.31673956,.6227932,-.33768177,-.16811085,.083963014,-.011777855,-.15657315,.54879475,.015944635,.33488598,.73274255,-.48893926,.16496421,-1.2085197,-.75673395,-.40035403,-.83552289,.045517001,-.2361666
160,20061,DELTA,2006,1,130778,101251,2227,216,6330,602,12649,27,7476,29527,16658442,102625,18.6,46,12,24,6,7,50,27,4,1,2,0,14,193,2276496,4915124,12572696,74415,19981260,6764051,24783796,-11491618,19981260,-1550844,-281602,1850565,5615,65447,47930,17517,2990524,3272126,318486257,593049888,142352,902670,269.67001,33.919998,.83471072,.16528925,473708,37786,16092657,16051876576,1702687637,2903905216,20773114844,117067359,118274053,268969,323213,.11841917,129249,.77583128,.77272362,.58634406,.11528652,.14396127,.33125737,292.35043,65.224525,0,0,51200,1.12781,323.33578,437.73044,.038715266,11,9,64,-2.1603348,-.25783384,-1.1048596,4.1778355,-.25589865,2.9231615,10.29306,5.2626901,-.25382021,5.6779532,-2.1335247,20.200788,16.593874,11.866058,122790944768,-2.0346575,-.094164766,-1.9633139,-.17911391,-1.0371306,4.2016807,-.20654429,2.3056192,10.351294,5.5749292,-.1888292,5.9221725,-2.31025,-1.8423537,20.599318,16.933538,12.189204,-.19702089,-.078719929,-.067728996,-.023845196,-.04935436,.61754227,-.058233261,-.31223917,-.064991012,-.2442193,.17672539,-.19230378,-.39852905,-.33966446,-.32314587,.058820102,.037309833,.062568694,-.25163129,.037393916,-.17728217,.76530576,1.500427,.4159514,.64463443,.11040274,1.5043769,1.7315223,1.3289061,1.682629
